Question_ID,Question,Question_Type,Subject,Difficulty,Ground_Truth,Evidence_Source,AI_Response,Evaluation,Hallucination,Severity,Evaluator_Notes
Q074,Why can urban areas be warmer than nearby rural areas?,Analytical,Geography,Medium,"Urban areas can be warmer because buildings and paved surfaces absorb and store heat, vegetation is often reduced, and human activities add heat, producing an urban heat-island effect.",OpenStax Physics 2e — Heat and heat transfer — https://openstax.org/books/physics-2e/pages/14-1-heat,"Urban areas can be warmer because buildings and paved surfaces absorb and store heat, vegetation is often reduced, and human activities add heat, producing an urban heat-island effect.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q075,Why might a population pyramid with a broad base indicate future population growth?,Analytical,Demography,Hard,"A broad-base population pyramid indicates a relatively large proportion of children and young people; as these cohorts reach reproductive ages, population growth may occur if fertility and mortality conditions remain favorable.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/45-chapter-summary,"A broad-base population pyramid indicates a relatively large proportion of children and young people; as these cohorts reach reproductive ages, population growth may occur if fertility and mortality conditions remain favorable.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q076,Why can repeated use of the same password increase cybersecurity risk?,Analytical,Computer Science,Easy,"Reusing the same password means one compromised password can give an attacker access to multiple accounts, increasing the impact of a breach.",OpenStax Introduction to Computer Science — https://openstax.org/books/introduction-computer-science/pages/6-6-reliability-and-security,"Reusing the same password means one compromised password can give an attacker access to multiple accounts, increasing the impact of a breach.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q077,Why might a drought reduce agricultural production?,Analytical,Environmental Science,Easy,"Drought reduces agricultural production by limiting water available for crops and livestock and can increase heat stress, crop failure, and soil degradation.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/45-chapter-summary,"Drought reduces agricultural production by limiting water available for crops and livestock and can increase heat stress, crop failure, and soil degradation.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q078,Why can breaking a task into smaller algorithmic steps make it easier to solve?,Analytical,Computer Science,Easy,"Breaking a task into smaller algorithmic steps makes it easier to design, test, debug, understand, and execute systematically.",OpenStax Introduction to Computer Science — Algorithms — https://openstax.org/books/introduction-computer-science/pages/4-2-algorithms,"Breaking a task into smaller algorithmic steps makes it easier to design, test, debug, understand, and execute systematically.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q079,Why can loss of a keystone species affect an entire ecosystem?,Analytical,Ecology,Hard,A keystone species has a disproportionately large effect on ecosystem structure; removing it can trigger major changes in species abundance and community composition.,OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/46-1-ecology-of-ecosystems,A keystone species has a disproportionately large effect on ecosystem structure; removing it can trigger major changes in species abundance and community composition.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q080,Why might a government increase interest rates to control inflation?,Analytical,Economics,Hard,"A government or central bank may raise interest rates to reduce borrowing and spending, which can lower aggregate demand and help reduce inflationary pressure.",OpenStax Principles of Economics 3e — https://openstax.org/books/principles-economics-3e/pages/chapter-29,"A government or central bank may raise interest rates to reduce borrowing and spending, which can lower aggregate demand and help reduce inflationary pressure.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q081,Compare mitosis and meiosis in terms of purpose and number of daughter cells.,Comparative,Biology,Medium,"Mitosis usually produces two genetically similar daughter cells for growth, repair, or asexual reproduction; meiosis produces four genetically different haploid cells for sexual reproduction.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/10-1-cell-division,"Mitosis usually produces two genetically similar daughter cells for growth, repair, or asexual reproduction; meiosis produces four genetically different haploid cells for sexual reproduction.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q082,Compare renewable and non-renewable energy sources.,Comparative,Environmental Science,Easy,"Renewable energy sources are replenished naturally on relatively short timescales, such as solar and wind; non-renewable sources such as coal, oil, and natural gas are finite and form over very long geological timescales.",U.S. Energy Information Administration — Renewable and nonrenewable energy — https://www.eia.gov/energyexplained/renewable-sources/,"Renewable energy sources are replenished naturally on relatively short timescales, such as solar and wind; non-renewable sources such as coal, oil, and natural gas are finite and form over very long geological timescales.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q083,Compare prokaryotic and eukaryotic cells.,Comparative,Biology,Medium,"Prokaryotic cells lack a membrane-bound nucleus and membrane-bound organelles, whereas eukaryotic cells have a nucleus and membrane-bound organelles.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/4-2-prokaryotic-cells,"Prokaryotic cells lack a membrane-bound nucleus and membrane-bound organelles, whereas eukaryotic cells have a nucleus and membrane-bound organelles.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q084,Compare acids and bases using their chemical properties.,Comparative,Chemistry,Medium,Acids increase hydrogen-ion concentration in aqueous solution and are proton donors in the Brønsted-Lowry model; bases accept protons and/or increase hydroxide-ion concentration in water.,OpenStax Chemistry 2e — https://openstax.org/books/chemistry-2e/pages/14-1-bronsted-lowry-acids-and-bases,Acids increase hydrogen-ion concentration in aqueous solution and are proton donors in the Brønsted-Lowry model; bases accept protons and/or increase hydroxide-ion concentration in water.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q085,Compare mass and weight.,Comparative,Physics,Easy,"Mass is the amount of matter and is measured in kilograms; weight is the gravitational force on that mass and is measured in newtons, with W = mg near Earth's surface.",NIST — Meet the Constants — https://www.nist.gov/si-redefinition/meet-constants,"Mass is the amount of matter and is measured in kilograms; weight is the gravitational force on that mass and is measured in newtons, with W = mg near Earth's surface. This is always true in every situation.",Partially Correct,1.0,1.0,"The core answer is aligned, but it adds an unsupported factual claim."
Q086,Compare speed and velocity.,Comparative,Physics,Easy,Speed is a scalar measure of distance traveled per unit time; velocity is a vector describing displacement per unit time and includes direction.,NIST — Meet the Constants — https://www.nist.gov/si-redefinition/meet-constants,Speed is a scalar measure of distance traveled per unit time; velocity is a vector describing displacement per unit time and includes direction.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q087,Compare weather and climate.,Comparative,Earth Science,Easy,Weather describes short-term atmospheric conditions at a particular time and place; climate describes long-term patterns and averages of weather over extended periods.,NOAA — What is climate? — https://www.noaa.gov/education/resource-collections/weather-atmosphere/weather-vs-climate,Weather describes short-term atmospheric conditions at a particular time and place; climate describes long-term patterns and averages of weather over extended periods. This is always true in every situation.,Partially Correct,1.0,1.0,"The core answer is aligned, but it adds an unsupported factual claim."
Q088,Compare RAM and permanent storage in a computer.,Comparative,Computer Science,Easy,"RAM is fast, volatile working memory used while programs run; permanent storage such as SSDs or hard drives retains data when power is off and is generally slower.",OpenStax Introduction to Computer Science — https://openstax.org/books/introduction-computer-science/pages/1-introduction,"RAM is fast, volatile working memory used while programs run; permanent storage such as SSDs or hard drives retains data when power is off and is generally slower.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q089,Compare supervised and unsupervised machine learning.,Comparative,Computer Science,Medium,Supervised learning uses labeled training data with known outputs; unsupervised learning works with unlabeled data to find patterns such as clusters or lower-dimensional structure.,IBM — What is machine learning? — https://www.ibm.com/think/topics/machine-learning,Supervised learning uses labeled training data with known outputs; unsupervised learning works with unlabeled data to find patterns such as clusters or lower-dimensional structure.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q090,Compare classical and operant conditioning.,Comparative,Psychology,Medium,"Classical conditioning learns associations between stimuli, often producing a learned response to a previously neutral stimulus; operant conditioning learns associations between behavior and its consequences.",OpenStax Psychology 2e — https://openstax.org/books/psychology-2e/pages/6-3-operant-conditioning | Classical conditioning: OpenStax Psychology 2e — https://openstax.org/books/psychology-2e/pages/6-2-classical-conditioning,"Classical conditioning learns associations between stimuli, often producing a learned response to a previously neutral stimulus; operant conditioning learns associations between behavior and its consequences.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q091,Compare DNA and RNA in structure and function.,Comparative,Biology,Medium,"DNA is usually double-stranded, uses deoxyribose and thymine, and stores genetic information; RNA is usually single-stranded, uses ribose and uracil, and has roles including protein synthesis and gene regulation.",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/3-5-nucleic-acids,"DNA is usually double-stranded, uses deoxyribose and thymine, and stores genetic information; RNA is usually single-stranded, uses ribose and uracil, and has roles including protein synthesis and gene regulation.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q092,Compare physical and chemical changes.,Comparative,Chemistry,Easy,A physical change alters a substance's form or state without changing its chemical identity; a chemical change produces one or more new substances through chemical reactions.,OpenStax Chemistry 2e — https://openstax.org/books/chemistry-2e/pages/4-2-classifying-chemical-reactions,The answer is the opposite of the established explanation: A physical change alters a substance's form or state without changing its chemical identity; a chemical change produces one or more new substances through chemical reactions.,Incorrect,1.0,3.0,The response contradicts the evidence-based ground truth.
Q093,Compare conduction and convection as methods of heat transfer.,Comparative,Physics,Medium,Conduction transfers heat through direct microscopic interactions within a material; convection transfers heat through the bulk movement of a fluid.,OpenStax Physics 2e — Heat and heat transfer — https://openstax.org/books/physics-2e/pages/14-1-heat,Conduction transfers heat through direct microscopic interactions within a material; convection transfers heat through the bulk movement of a fluid.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q094,Compare mitosis and meiosis with respect to chromosome number in daughter cells.,Comparative,Biology,Medium,"In typical diploid organisms, mitosis maintains chromosome number in daughter cells (2n → 2n), while meiosis reduces chromosome number by half (2n → n).",OpenStax Biology 2e — https://openstax.org/books/biology-2e/pages/10-1-cell-division,"In typical diploid organisms, mitosis maintains chromosome number in daughter cells (2n → 2n), while meiosis reduces chromosome number by half (2n → n).",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q095,Compare democracy and monarchy as forms of government.,Comparative,Political Science,Medium,"Democracy gives political authority to the people, usually through elections and representative institutions; monarchy places the head of state in a hereditary or dynastic office, although modern monarchies may be constitutional.",Encyclopaedia Britannica — Democracy — https://www.britannica.com/topic/democracy,"Democracy gives political authority to the people, usually through elections and representative institutions; monarchy places the head of state in a hereditary or dynastic office, although modern monarchies may be constitutional.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q096,Compare GDP and GDP per capita as economic indicators.,Comparative,Economics,Medium,GDP measures the total value of final goods and services produced within an economy; GDP per capita divides GDP by population and is often used as a rough measure of average economic output per person.,OpenStax Principles of Economics 3e — https://openstax.org/books/principles-economics-3e/pages/19-1-measuring-the-size-of-the-economy-gross-domestic-product,GDP measures the total value of final goods and services produced within an economy; GDP per capita divides GDP by population and is often used as a rough measure of average economic output per person.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q097,Compare a hypothesis and a scientific theory.,Comparative,Science,Medium,"A hypothesis is a specific, testable proposed explanation or prediction; a scientific theory is a broad, well-supported explanatory framework that has survived extensive testing and evidence.",OpenStax Biology 2e — Scientific Method and Experimental Design — https://openstax.org/books/biology-2e/pages/1-2-themes-and-concepts-of-biology,"A hypothesis is a specific, testable proposed explanation or prediction; a scientific theory is a broad, well-supported explanatory framework that has survived extensive testing and evidence.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q098,Compare HTTP and HTTPS in terms of security.,Comparative,Computer Science,Easy,"HTTP transmits web data without the encryption and authentication provided by TLS; HTTPS is HTTP carried over TLS, helping protect confidentiality and integrity and authenticate the server.",OpenStax Introduction to Computer Science — https://openstax.org/books/introduction-computer-science/pages/14-2-cybersecurity-deep-dive,"HTTP transmits web data without the encryption and authentication provided by TLS; HTTPS is HTTP carried over TLS, helping protect confidentiality and integrity and authenticate the server.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q099,Compare weathering and erosion.,Comparative,Geography,Medium,"Weathering breaks down or alters rock at or near Earth's surface; erosion is the transport of weathered material by agents such as water, wind, ice, or gravity.",USGS — Earthquakes — https://www.usgs.gov/programs/earthquake-hazards,"Weathering breaks down or alters rock at or near Earth's surface; erosion is the transport of weathered material by agents such as water, wind, ice, or gravity.",Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
Q100,Compare an independent variable and a dependent variable in an experiment.,Comparative,Science,Easy,The independent variable is the factor deliberately changed or controlled by the researcher; the dependent variable is the outcome measured to assess the effect of that change.,OpenStax Biology 2e — Scientific Method and Experimental Design — https://openstax.org/books/biology-2e/pages/1-2-themes-and-concepts-of-biology,The independent variable is the factor deliberately changed or controlled by the researcher; the dependent variable is the outcome measured to assess the effect of that change.,Correct,0.0,0.0,The response is consistent with the evidence-based ground truth.
